key,title,doi,status,matched_file,abstract_preview
TFG2QBCT,An Overview of the Optimization of RF Power Amplifiers using a Bayesian Algorithm : (Invited),10.1109/SMACD58065.2023.10192208,updated,SMACD2023_Overview_of_the_Optimization_of.md,An overview of the Bayesian approach to the optimization of broad-band radio frequency power amplifi...
7QDZUFDC,High-Dimensional Bayesian Optimization for Analog Integrated Circuit Sizing Based on Dropout and g<sub>m</sub> /I<sub>D</sub> Methodology,10.1109/TCAD.2022.3147431,updated,TCAD2022_High_Dimensional_Bayesian_Optimization_for_Analog.md,"Bayesian optimization (BO) is popular for a analog circuit sizing problem recently. However, BO can ..."
F8DTBDGM,Cross-Domain Optimization of Low-Power Mixed-Signal Sensor Systems Under Classification Accuracy Constraints,10.1109/TCAD.2024.3372450,updated,TCAD2024_Cross_Domain_Optimization_of_Low_Power.md,"Optimizing mixed-signal systems-on-chips (SoCs) is a challenging task, especially when they involve ..."
DJC54ITX,A Broadband PA Design Based on Bayesian Optimization Augmented by Dynamic Feasible Region Shrinkage,10.1109/LMWC.2022.3173441,updated,MWCL2022_Broadband_PA_Design_Based_on.md,"In this letter, a new Bayesian optimization (BO) method with dynamic feasible region shrinkage (DFRS..."
S3XEBIIT,An Optimization-Based Approach for Analog Circuit Technology Migration,10.1109/SEEDA-CECNSM53056.2021.9566219,updated,SEEDA2021_Optimization_Based_Approach_for_Analog_Circuit.md,In this paper a new approach for automatic technology migration of analog Integrated Circuits (ICs) ...
WWDMAK7P,Two-Stage Multi-Objective Bayesian Optimization Framework for Analog Circuit Sizing,10.1109/ISPACS68724.2025.11383095,updated,ISPACS2025_Two_Stage_Multi_Objective_Bayesian_Optimization.md,This study proposes a two-stage multi-objective Bayesian optimization framework for analog circuit s...
K2JIXTN4,Correlation-Guided Flexible Bayesian Optimization for Analog IC Sizing,10.1109/ISRIMT67769.2025.11413086,updated,ISRIMT2025_Correlation_Guided_Flexible_Bayesian_Optimization.md,"Analog IC parameter design requires balancing multiple performance metrics under constraints, but tr..."
DGZFNQXP,Reducing Simulation Overhead in Analog Circuit Sizing via Stage-Aware Multi-Fidelity Optimization,10.1109/ISPACS68724.2025.11382967,updated,ISPACS2025_Reducing_Simulation_Overhead_in_Analog.md,"In analog integrated circuit (IC) design, simulationbased optimization methods such as Bayesian opti..."
3GZEDHFX,A Design of Source-Switched Charge Pump Circuit with 65nm Technology by using Bayesian Optimization,10.1109/ISEE59483.2023.10299853,updated,ISEE2023_Design_of_Source_Switched_Charge_Pump.md,"A charge pump (CP) has been one of the most widely used components in many phase-lock loops (PLLs), ..."
S4K8URBU,Accelerating Phase-Lock-Loop Design via Circuit-Level Partitioning and Bayesian Optimization,10.1109/ISPACS68724.2025.11382750,updated,ISPACS2025_Accelerating_Phase_Lock_Loop_Design_via.md,With the miniaturization of electronic devices and the advancement of semiconductor process technolo...
TPUQPATD,Hierarchical Optimization based on Partial Performance Tradeoff Modeling Method for Large Scale Analog Circuits,10.1109/ISEDA62518.2024.10617836,updated,ISEDA2024_Hierarchical_Optimization_based_on_Partial.md,"In this paper, a partial performance tradeoff modeling method is proposed for the hierarchical optim..."
PSMNGPUF,"Design Space Folding: A ""Free-lunch"" Add-on for Efficient Design Convergence in Transistor Sizing",10.1109/ISEDA65950.2025.11100880,updated,ISEDA2025_Design_Space_Folding_A_Free_lunch.md,Automatic transistor sizing in circuit design remains a significant challenge. While Bayesian optimi...
BXPIQ8AQ,Computational Bayesian Experimental Design and Inference for Assisted Linear Circuit Prototype Debug,10.1109/ACCESS.2026.3667909,updated,IEEENone_Computational_Bayesian_Experimental_Design_and.md,Circuit prototype debug can be challenging for students and novice engineers for which emerging inte...
97JUVKD6,Kernel-Enhanced Deep Learning for Temperature-Dependent Electromagnetic Susceptibility Modeling of Analog Sensors,10.1109/TEMC.2026.3662209,updated,IEEENone_Kernel_Enhanced_Deep_Learning_for.md,Analog sensors are widely deployed in electronic systems but are highly susceptible to electromagnet...
47AQH8FN,Algorithmic Optimization of Transistors Applied to Silicon LDMOS,10.1109/ACCESS.2023.3287204,updated,IEEENone_Algorithmic_Optimization_of_Transistors_Applied.md,We propose a pioneering approach that integrates optimization algorithms and technology computer-aid...
XXGPPIVS,An Automatic Impedance Matching Network Based on Neural Network Technique for Inductive RF Plasma Source,10.1109/TIM.2025.3544285,updated,IEEENone_Automatic_Impedance_Matching_Network_Based.md,A novel adaptive matching network system is proposed in this article which utilizes an efficient neu...
HJ5N8DTI,Automated Broadband Outphasing Power Amplifier Design via Genetic Bayesian Multiobjective Optimization,10.1109/LMWT.2025.3623611,updated,IEEE2026_Automated_Broadband_Outphasing_Power_Amplifier.md,A genetic Bayesian (GBay) multiobjective optimization methodology is proposed for robust power ampli...
9JZQ6R8J,The Initialization Effect: Refining Bayesian Optimization for Circuit Design,10.1109/TCASAI.2025.3609742,updated,IEEE2026_Initialization_Effect_Refining_Bayesian.md,Bayesian optimization (BO) has emerged as a powerful sample efficient technique for optimizing expen...
FJSX8IKH,Next-Generation Data Converter Circuits with AI Integration,10.1109/SILCON67893.2025.11326994,updated,IEEE2025_Next_Generation_Data_Converter_Circuits_with.md,Artificial Intelligence (AI) and Machine Learning (ML) technologies are being integrated into the de...
PKBW3FZ6,SymXplorer: A Designer's Toolbox for Automated Analog Circuit Topology Exploration,10.1109/MWSCAS53549.2025.11244398,updated,IEEE2025_SymXplorer_A_Designers_Toolbox_for.md,The advancement of circuit parameter optimization has allowed achieving the optimal configuration of...
JITBKW23,Hierarchical Multistate Optimization Based on Bayesian Nested Improved Meta-Heuristic Algorithm for Reconfigurable Bandpass Filter,10.1109/LMWT.2025.3543515,updated,IEEE2025_Hierarchical_Multistate_Optimization_Based_on.md,This letter proposes a hierarchical multistate optimization (HMO) method for the microstrip reconfig...
JCX5R5ZM,Improving the Efficiency of Bayesian Optimization Using Robust Scaling Tchebycheff Method in Op-Amp Circuit Design,10.1109/ICECS66544.2025.11270773,updated,IEEE2025_Improving_the_Efficiency_of_Bayesian.md,"Recently, machine learning techniques—particularly Bayesian optimization—have been employed in analo..."
7IAB83P6,ASTRA: Automatic Sizing of Transistors with Reasoning Agents,10.1109/ICCAD66269.2025.11240675,updated,IEEE2025_ASTRA_Automatic_Sizing_of_Transistors.md,Advancing technology nodes have significantly increased the complexity of transistor sizing in analo...
U4BPTJ9U,AI-Assisted Design of a Compact Voltage Monitoring System with a Millisecond-Delayed Fault Detection Circuit,10.1109/ICECS66544.2025.11270785,updated,IEEE2025_AI_Assisted_Design_of_a_Compact.md,Voltage monitoring systems (VMS) with delayed fault detection (DFD) are critical for ensuring safe o...
4ZDT3R53,Adaptive Confidence Interval-Based Alternate Test for Reliability Enhancement,10.1109/TVLSI.2025.3591196,updated,IEEE2025_Adaptive_Confidence_Interval_Based_Alternate_Test.md,The estimation model-based alternate test strategy for analog integration circuits (ICs) offers an e...
REC4VNPF,A New Artificial Neural Network-Based Calibration Mechanism for ADCs: A Time-Interleaved ADC Case Study,10.1109/TVLSI.2024.3390220,updated,IEEE2024_New_Artificial_Neural_Network_Based_Calibration.md,This article presents a new artificial neural network (ANN)-based calibration mechanism for analog-t...
U8GEDRP2,Parametric Fault Diagnosis of Analog Circuits using Adaptive Boosting,10.1109/ISVLSI61997.2024.00138,updated,IEEE2024_Parametric_Fault_Diagnosis_of_Analog.md,This work proposes an improved parametric fault diagnosis technique targeting increased analog fault...
657JHAUF,Machine-Learning-Based Mismatch Calibration for Time-Interleaved ADCs,10.1109/TNS.2024.3422277,updated,IEEE2024_Machine_Learning_Based_Mismatch_Calibration_for.md,The time-interleaved analog-to-digital conversion (TIADC) technique provides an effective way to ach...
ZS2MHCGR,Machine Learning Based Static and Dynamic Error Calibration in Data Converters,10.1109/VTS60656.2024.10538754,updated,IEEE2024_Machine_Learning_Based_Static_and.md,This work presents a supervised machine learning (ML) technique to simultaneously suppress static an...
SEM9M9JZ,A Background Calibration Method of Bandwidth Mismatch for Time-Interleaved ADCs Based on Neural Network,10.1109/ICSICT62049.2024.10831473,updated,IEEE2024_Background_Calibration_Method_of_Bandwidth.md,This paper proposes a background calibration algorithm based on neural network (NN) for bandwidth mi...
DVWV7T9W,Deep learning-driven phase calibration methodology for enhanced beamforming in integrated optical phased array,10.1109/SiPhotonics60897.2024.10544128,updated,IEEE2024_Deep_learning_driven_phase_calibration_methodology.md,We introduce a novel approach leveraging a deep neural network architecture for precise phase calibr...
4ZG3MB59,Evolution Strategy and Controlled Residual Convolutional Neural Networks for ADC Calibration in the Absence of Ground Truth,10.1109/ISCAS58744.2024.10558130,updated,IEEE2024_Evolution_Strategy_and_Controlled_Residual.md,Calibrating ADCs in the absence of ground truth presents a significant challenge for high-precision ...
DKZWZ3J4,OATT: Outlier Oriented Alternative Testing and Post-Manufacture Tuning of Mixed-Signal/RF Circuits and Systems,10.1109/ITC51656.2023.00014,updated,IEEE2023_OATT_Outlier_Oriented_Alternative_Testing.md,Prevalent specification-based AMS testing techniques require the use of complex test circuits or reg...
V55KJ6DS,Artificial Intelligence Based High Power Calibration Method for RF Pulse Amplifiers,10.1109/VTS60656.2024.10538719,updated,IEEE2024_Artificial_Intelligence_Based_High_Power.md,"The development, design, and implementation of a calibration method for a high-power RF pulse amplif..."
3S97PPQ3,A Neural Network Based Calibration Technique for TI-ADCs with Derivative Information,10.1109/ISCAS46773.2023.10181825,updated,IEEE2023_Neural_Network_Based_Calibration_Technique.md,This paper demonstrates a new neural-network-based calibration technique for inter-channel mismatche...
7W5M5BWQ,A Neural Network-based Digital Calibration Improvement Method for ADC,10.1109/ICIPCA59209.2023.10257940,updated,IEEE2023_Neural_Network_based_Digital_Calibration.md,"The article proposes a neural network-based digital calibration improvement method for ADC, targetin..."
NDCFDNJ8,Over-The-Air Calibration of A Phase Shifter Network,10.1109/ICCC55456.2022.9880831,updated,IEEE2022_Over_The_Air_Calibration_of_A_Phase.md,Phase shifter networks (PSN) are now widely used in multi-input multi-output (MIMO) systems for its ...
TKAJRR4H,RF filter design using Deep Learning and Artificial Intelligence,10.1109/NEMO51452.2022.10038522,updated,IEEE2022_RF_filter_design_using_Deep.md,In this paper an RF filter optimization by using deep learning method is presented. This approach al...
QXZH7JQ3,Functional Testing of On-chip Analog/RF Circuits using Machine Learning based Regression Models,10.1109/ITCIndia202255192.2022.9854517,updated,IEEE2022_Functional_Testing_of_On_chip_AnalogRF.md,This study aims to utilize the simulation data col-lected during the design stages of analog and RF ...
4ZRC6QWJ,High Power RF Calibration Method with Artificial Intelligence,10.1109/APWC49427.2022.9899922,updated,IEEE2022_High_Power_RF_Calibration_Method.md,An accurate RF power detection is highly desirable for wide range of RF applications [1] . The major...
IXUMRQ8C,Prediction of De-embedded Eye Height/Width Parameters using Machine Learning in High-Speed Serial Link Characterization,10.1109/EPEPS51341.2021.9609118,updated,IEEE2021_Prediction_of_De_embedded_Eye_HeightWidth.md,Post silicon analog validation and characterization refers to a set of activities done on a lab test...
UWNTMKT5,Automatic Structural Test Generation for Analog Circuits using Neural Twins,10.1109/ITC50671.2022.00022,updated,IEEE2022_Automatic_Structural_Test_Generation_for.md,The growing size of analog IPs has made targeted structural testing of such designs a challenging pr...
XX9QHW2Z,Experimental Evaluation of Backpropagation-Based Background Compensation of TI-ADC with Application to Digital Communication Receivers,10.1109/ISCAS51556.2021.9401576,updated,IEEE2021_Experimental_Evaluation_of_Backpropagation_Based.md,This paper presents an experimental evaluation of the backpropagation-based technique for the backgr...
H32SXVHK,Machine Learning Based Uncertainty Quantification of Extrapolated Design Space and Frequency Response for RF Structures,10.1109/IMS19712.2021.9574988,updated,IEEE2021_Machine_Learning_Based_Uncertainty_Quantification.md,Current deterministic machine learning models provide point estimates for predictions without any me...
T4RPSSK4,Machine-Learning Based Nonlinerity Correction for Coarse-Fine SAR-TDC Hybrid ADC,10.1109/MWSCAS48704.2020.9184523,updated,IEEE2020_Machine_Learning_Based_Nonlinerity_Correction_for.md,This paper presents a backend machine learning-based nonlinearity calibration scheme for a coarse-fi...
53PMSK7P,Wavelet Transform based fault diagnosis in analog circuits with SVM classifier,10.1109/ITCIndia49857.2020.9171798,updated,IEEE2020_Wavelet_Transform_based_fault_diagnosis.md,"In this work, the diagnosis of hard and soft faults in analog circuits has been addressed using Wave..."
PKS2P8IH,Background Calibration of Time-Interleaved ADC for Optical Coherent Receivers using Error Backpropagation Techniques,10.1109/ISCAS45731.2020.9180693,updated,IEEE2020_Background_Calibration_of_Time_Interleaved_ADC.md,Backpropagation is a machine learning algorithm used to train neural networks. This paper introduces...
9URBDWA3,Implementing indirect test of RF circuits without compromising test quality: a practical case study,10.1109/LATS49555.2020.9093666,updated,IEEE2020_Implementing_indirect_test_of_RF.md,"Cost reduction is a crucial step in testing AMS/RF circuits, and one way of achieving this is to imp..."
SZSC4UUW,A Novel Calibration Method of Gain and Time-skew Mismatches for Time-interleaved ADCs Based on Neural Network,10.1109/IEEE-IWS.2019.8804030,updated,IEEE2019_Novel_Calibration_Method_of_Gain.md,This paper proposes a novel calibration method for time-interleaved analog-to-digital converter (TI-...
RCBUFJ8W,Use of ensemble methods for indirect test of RF circuits: can it bring benefits?,10.1109/LATW.2019.8704641,updated,IEEE2019_Use_of_ensemble_methods_for.md,"Indirect testing of analog and RF integrated circuits is a widely studied approach, which has the be..."
HHZDK9GX,KKCV-GA-Based Method for Optimal Analog Test Point Selection,10.1109/TIM.2016.2614752,updated,IEEE2017_KKCV_GA_Based_Method_for_Optimal_Analog.md,A novel diagnosis oriented method for optimal analog test point selection is proposed. The method us...
DAXPNGEH,Mixed-signal test automation: Are we there yet?,10.1109/ISCAS.2018.8351734,updated,IEEE2018_Mixed_signal_test_automation_Are_we.md,"Testing analog, mixed-signal and RF (AMS-RF) circuits represents a significant cost component for te..."
TX5CRE4D,Machine Learning Based Image Calibration for a Twofold Time-Interleaved High Speed DAC,10.1109/MWSCAS.2019.8884831,updated,IEEE2019_Machine_Learning_Based_Image_Calibration.md,"In this paper, we propose a novel image calibration algorithm for a twofold time-interleaved DAC (TI..."
TQ42TCD9,On-die learning-based self-calibration of analog/RF ICs,10.1109/VTS.2016.7477297,updated,IEEE2016_On_die_learning_based_self_calibration_of.md,We discuss a methodology and the corresponding hardware architecture for performing self-calibration...
MVDN599Z,RF power amplifier modeling and linearization with augmented RBF neural networks,10.1109/iWEM.2016.7505043,updated,IEEE2016_RF_power_amplifier_modeling_and.md,"In this paper, we present an augmented radial basis function (RBF) neural network (ARBFNN) to linear..."
K3MC3VXI,A Novel Test Stimulus Generation Method Based On Ensemble Learners for Analog Circuits,10.1109/ICSMD64214.2024.10920505,updated,ICSMD2024_Novel_Test_Stimulus_Generation_Method.md,Test stimulus generation is a very effective tool in analog circuit fault diagnosis. The extensive u...
V7UZMTUX,"DE-LOC: Design validation and debugging under limited observation and control, pre- and post-silicon for mixed-signal systems",10.1109/TEST.2016.7805868,updated,IEEE2016_DE_LOC_Design_validation_and_debugging.md,"In the modern mixed-signal SoC design cycle, designers are frequently tasked with detecting and diag..."
KW4SQAFH,A/D converter background calibration algorithm based on neural network,10.1109/ELTECH.2018.8401393,updated,ICET2018_AD_converter_background_calibration_algorithm.md,"With the development of A/D converter technology, the background calibration is a good way to enhanc..."
9ES3TM9W,Physics-Guided Modeling for Fault Detection in Analog Circuits Using ODE-GRU,10.1109/ICRMS65480.2025.00043,updated,ICRMS2025_Physics_Guided_Modeling_for_Fault_Detection.md,"Traditional diagnostic methods struggle with issues such as component aging, parameter drift, and in..."
HH982QRE,Parametric Fault Detection of Analogue Circuits Based on Optimized Support Vector Machine Classifier,10.1109/ICENCO.2018.8636134,updated,ICENCO2018_Parametric_Fault_Detection_of_Analogue.md,Parametric faults in analogue circuits cause system performance degeneration and are hard to be dete...
NFSEXCQM,Electromechanical Co-Design and Experimental Testing of Package Layer in Structurally Embedded Phased Array Antenna,10.1109/ICEPT52650.2021.9567721,updated,ICEPT2021_Electromechanical_Co_Design_and_Experimental.md,Structurally embedded phased array antenna (SEPAA) provides a new paradigm where the structural surf...
PS7BFHVN,A Pipelined ADC Neural Network Calibration Method Optimized by Hybrid Strategy PSO,10.1109/EIT67313.2025.11231852,updated,EIT2025_Pipelined_ADC_Neural_Network_Calibration.md,"Recently, the neural network has been applied to calibrate the pipelined analog-to-digital converter..."
ABUT8TGG,6GS/s 8-channel CIC SAR TI-ADC with Neural Network Calibration,10.1109/ESSCIRC55480.2022.9911287,updated,ESSCIRC2022_6GSs_8_channel_CIC_SAR_TI_ADC.md,In this paper we introduce an area efficient time-interleaved charge-injection-cell SAR ADC. The pro...
XTS9GXKU,A Convolutional Neural Network Approach for Phased Array Calibration Using Power-Only Measurements,10.1109/ICEE50131.2020.9260769,updated,ICEE2020_Convolutional_Neural_Network_Approach_for.md,"In this paper, a novel method based on a convolutional neural network is presented for receiver phas..."
MXMBFG9D,On the use of causal feature selection in the context of machine-learning indirect test,10.23919/DATE.2019.8714798,updated,DATE2019_On_the_use_of_causal.md,"The test of analog, mixed-signal and RF (AMS-RF) circuits is still considered as a matter of human c..."
ZI83AWMP,A NARX-Inspired Dual-Branch Neural Network Calibration for Pipelined ADC,10.1109/CNML68938.2026.11452277,updated,CNML2026_NARX_Inspired_Dual_Branch_Neural_Network.md,This paper presents a digital calibration method based on a Nonlinear Auto-Regressive with Exogenous...
VRQ2M86H,On the limits of machine learning-based test: A calibrated mixed-signal system case study,10.23919/DATE.2017.7926962,updated,DATE2017_On_the_limits_of_machine.md,"Testing analog, mixed-signal and RF circuits represents the main cost component for testing complex ..."
9EJ6SKZ4,Exploring Graphical Models with Bayesian Learning and MCMC for Failure Diagnosis,10.1109/ASP-DAC47756.2020.9045154,updated,ASP2020_Exploring_Graphical_Models_with_Bayesian.md,Graphical models are powerful machine learning techniques for data analytics. Being capable of stati...
H9WUDQH9,TPSO Based Multi-Parameter ADC Background Calibration Algorithm,10.1109/CECIT53797.2021.00222,updated,CECIT2021_TPSO_Based_Multi_Parameter_ADC_Background.md,"In this paper, a multi-parameter high resolution ADC digital background calibration method based on ..."
MW6EPM53,Research on Conducted Immunity Quantification Model of Operational Amplifier Based on Neural Networks and Feature Extraction,10.23919/ACES-China60289.2023.10249590,updated,ACES2023_Research_on_Conducted_Immunity_Quantification.md,The quantitative model presented in this study focuses on analyzing and predicting the output behavi...
M2PT9VN6,AI-Assisted EM Simulator For The Randomized Pixelated RF Components,10.1109/APMC65046.2025.11378046,updated,APMC2025_AI_Assisted_EM_Simulator_For_The.md,"Recently, pixelated RF components have been introduced, which achieve the exact performance of passi..."
DXXK35VK,RF Design-Oriented ACM Model Generation Using Parametric Test and Machine Learning Regression in 28nm FD-SOI CMOS Technology,10.1109/LASCAS67804.2026.11457152,not_found,,
PAU34WET,Machine Learning-Based Calibration Algorithm for Harmonic Rejection N-Path Mixers,10.23919/EuMC61614.2024.10732474,updated,20242024_Machine_Learning_Based_Calibration_Algorithm_for.md,This paper introduces a calibration approach for an RF front-end harmonic-rejection N-path mixer. De...
WZ4G6JK9,Application Driven Rapid Synthesis for Analog BIST Components,10.1109/MWSCAS54063.2022.9859392,not_found,,
9SF5D5J4,Machine Learning based Load-Pull Algorithm for Fast Reflection Factor Synthesis,10.1109/UCMMT49983.2020.9296018,updated,UK2020_Machine_Learning_based_Load_Pull_Algorithm.md,Load-pull is one of the most used techniques for estimating and optimizing the performance of device...
9D7TP7BM,Multi-Dimensional Image Completion for Automated Power Amplifier Design,10.23919/USNC-URSINRSM60317.2024.10465124,updated,URSI2024_Multi_Dimensional_Image_Completion_for_Automated.md,"Widely used methods to characterize maximum power, efficiency, or linear performance for power ampli..."
ED84JBEH,A Physics-Informed Neural Network-Based Scalable Model for GaN HEMTs,10.1109/TMTT.2026.3666090,updated,TMTTNone_Physics_Informed_Neural_Network_Based_Scalable.md,The integration of physical knowledge into artificial intelligence (AI)-based models for gallium nit...
FPTPI4E5,"Digital Predistortion of Millimeter-Wave GaN Power Amplifiers for 6G Integrated Communication, Sensing, and Power Transfer Scenarios",10.1109/TMTT.2024.3452555,updated,TMTT2025_Digital_Predistortion_of_Millimeter_Wave_GaN.md,"Aiming at supporting diverse applications, integrated communication, sensing, and power transfer (IC..."
6S239W8F,Multidimensional Load-Pull Extrapolation of Unknown Devices Using Generative Adversarial Networks,10.1109/TMTT.2025.3600312,updated,TMTT2025_Multidimensional_Load_Pull_Extrapolation_of.md,"Nonlinear amplifier designers benefit from fast, accurate performance assessment and optimization te..."
2WWTSD5R,An ANN-Based GaN HEMT Large-Signal Model With High Near-Threshold Accuracy and Its Application in Class-AB MMIC PA Design,10.1109/TMTT.2025.3557152,updated,TMTT2025_ANN_Based_GaN_HEMT_Large_Signal_Model.md,Artificial neural network-based gallium nitride high-electron-mobility transistor (ANN-based GaN HEM...
ASAHVMD4,Artificial Neural Network Nonlinear Transistor Behavioral Models: Structure and Parameter Determination Process Based on the Cardiff Model,10.1109/TMTT.2024.3434959,updated,TMTT2025_Artificial_Neural_Network_Nonlinear_Transistor.md,This article introduces a novel artificial neural network (ANN) structure determination process base...
3GGHATXE,A Scalable Knowledge-Based Neural Network Model for GaN HEMTs With Accurate Trapping and Self-Heating Effects Characterization,10.1109/TMTT.2023.3248225,updated,TMTT2023_Scalable_Knowledge_Based_Neural_Network_Model.md,"In this article, a scalable knowledge-based neural network (KBNN) large-signal model of gallium nitr..."
SDND9T94,Dynamic Activation Digital Predistortion of RF Power Amplifiers for 6G Dynamic Spectrum Aggregation Applications,10.1109/TMTT.2023.3318732,updated,TMTT2024_Dynamic_Activation_Digital_Predistortion_of.md,"In this article, a novel dynamic activation digital predistortion (DPD) technique is proposed to lin..."
WKXKFB6X,ANN-Based Large-Signal Model of AlGaN/GaN HEMTs With Accurate Buffer-Related Trapping Effects Characterization,10.1109/TMTT.2020.2990171,updated,TMTT2020_ANN_Based_Large_Signal_Model_of_AlGaNGaN.md,"In this article, an artificial neural network (ANN)-based large-signal model (LSM) of AlGaN/GaN high..."
3AZMMGIU,A Neural Network-Based Hybrid Physical Model for GaN HEMTs,10.1109/TMTT.2022.3206442,updated,TMTT2022_Neural_Network_Based_Hybrid_Physical_Model.md,A neural network (NN)-based hybrid physical model for gallium nitride high-electron-mobility transis...
EV7HKD2Z,Dynamic Behavioral Modeling of RF Power Amplifier Based on Time-Delay Support Vector Regression,10.1109/TMTT.2018.2884414,updated,TMTT2019_Dynamic_Behavioral_Modeling_of_RF.md,"A new, dynamic behavioral modeling technique, based on a time-delay support vector regression (SVR) ..."
WP4AST2V,Digital Signal Recovery With Transmitter Nonlinear State Tracking for Satellite Communications,10.1109/TCSII.2022.3181785,updated,TCAS-II2022_Digital_Signal_Recovery_With_Transmitter.md,This brief proposes a digital signal recovery (DSR) method to compensate the nonlinear distortion in...
WG343D3G,An Overview of Nonlinear Behavioral Modeling Approaches for Microwave GaN Power Transistors,10.1109/TELSIKS57806.2023.10316040,updated,TELSIKS2023_Overview_of_Nonlinear_Behavioral_Modeling.md,"Over the past few decades, a variety of nonlinear behavioral modeling techniques have been developed..."
2QJI58GK,Bayesian Inference-Based Behavioral Modeling Technique for GaN HEMTs,10.1109/TMTT.2019.2906304,updated,TMTT2019_Bayesian_Inference_Based_Behavioral_Modeling.md,"A new, frequency-domain, behavioral modeling methodology for gallium nitride (GaN) high-electron-mob..."
3C5TB4U3,Flexible Automatic Design of GaN PA Based on Gaussian Process-Assisted Nondominated Sorting Genetic Algorithm,10.1109/TCAD.2025.3584848,updated,TCAD2026_Flexible_Automatic_Design_of_GaN.md,"This article introduces a new method for designing power amplifiers (PAs) using a flexible, automati..."
45RW22AG,Automated Deep Neural Learning-Based Optimization for High Performance High Power Amplifier Designs,10.1109/TCSI.2020.3008947,updated,TCAS-I2020_Automated_Deep_Neural_Learning_Based_Optimization.md,This study presents an automated optimization-oriented strategy for designing high power amplifiers ...
JB46X64I,Intelligent Inverse Designs of Impedance Matching Circuits With Generative Adversarial Network,10.1109/TCAD.2024.3385368,updated,TCAD2024_Intelligent_Inverse_Designs_of_Impedance.md,"Impedance matching circuits (IMCs) are crucial modules in radio frequency (RF) front-end components,..."
RCF7SXBS,Solving the Inverse Problem of Analog Integrated Circuit Sizing with Diffusion Models,10.1109/SMACD61181.2024.10745460,updated,SMACD2024_Solving_the_Inverse_Problem_of.md,"In this paper, the focus is given on using artificial neural networks (ANNs), particularly diffusion..."
AW9IJR8B,Inverse Analog IC Sizing and Exploration through Diffusion Models and Structural Knowledge,10.1109/SMACD65553.2025.11092111,updated,SMACD2025_Inverse_Analog_IC_Sizing_and.md,"In the field of analog integrated circuit sizing, the ability to rapidly and efficiently explore des..."
7NXHTAMR,Mixed-Variable Bayesian Optimization for Analog Circuit Sizing using Variational Autoencoders,10.1109/SMACD55068.2022.9816185,updated,SMACD2022_Mixed_Variable_Bayesian_Optimization_for_Analog.md,Bayesian Optimization (BO) has recently gained popularity within the context of automatic sizing of ...
Z6AG4T8T,Layout Synthesis of Analog Primitive Cells with Variational Autoencoder,10.1109/SMACD58065.2023.10192172,updated,SMACD2023_Layout_Synthesis_of_Analog_Primitive.md,"In analog layout design, the layout design styles of analog building blocks usually have the greates..."
TI4ZXKV4,Benchmarking Measurement-Based Large-Signal FET Models for GaN HEMT Devices,10.1109/RFIC54547.2023.10186170,updated,RFIC2023_Benchmarking_Measurement_Based_Large_Signal_FET.md,This paper compares the accuracy and attributes of measurement-based large-signal FET models in the ...
C2KW327Z,A Reliable and Fast ANN Based Behavioral Modeling Approach for GaN HEMT,10.1109/SMACD.2019.8795247,updated,SMACD2019_Reliable_and_Fast_ANN_Based.md,"The paper proposes an accurate, fast and advanced neural network approach to model the small signal ..."
RU773QAZ,Verilog-A Based ANN Large Signal Modeling of Gan Hemts,10.1109/REEPE60449.2024.10479941,updated,REEPE2024_Verilog_A_Based_ANN_Large_Signal.md,This paper presents an approach to implementing an Artificial Neural Network (ANN) model for simulat...
7NBHXFSJ,Artificial Neural Networks for GaN HEMT Model Extraction in D-band Using Sparse Data,10.1109/RFIC54547.2023.10186179,updated,RFIC2023_Artificial_Neural_Networks_for_GaN.md,We describe the application of Artificial Neural Networks (ANNs) for Gallium Nitride (GaN) High-Elec...
78BB8XDP,Deep Neural Network-Based Digital Predistorter for Doherty Power Amplifiers,10.1109/LMWC.2018.2888955,updated,MWCL2019_Deep_Neural_Network_Based_Digital_Predistorter.md,"In this letter, measured adjacent channel leakage ratio (ACLR) results using a GaN Doherty power amp..."
CX6AMND6,Stochastic Optimization of the CPL-Function-Based Model for RF Power Transistors,10.1109/LMWC.2022.3149751,updated,MWCL2022_Stochastic_Optimization_of_the_CPL_Function_Based.md,"In this article, the simultaneous perturbation stochastic approximation (SPSA) algorithm is proposed..."
AB4I2QG5,Design of broadband high-efficiency GaN power amplifiers,10.23919/MIKON.2018.8405184,updated,MIKON2018_Design_of_broadband_high_efficiency_GaN.md,We discuss the broadband design of high-efficiency GaN power amplifiers (PAs) using continuous modes...
HCJMWJAZ,Support Vector Regression-Based Behavioral Modeling Technique for RF Power Transistors,10.1109/LMWC.2018.2819427,updated,MWCL2018_Support_Vector_Regression_Based_Behavioral.md,"A nonlinear behavioral modeling technique, based on support vector regression (SVR), is presented in..."
QDJ6Q9TT,18.1 A Self-Health-Learning GaN Power Converter Using On-Die Logarithm-Based Analog SGD Supervised Learning and Online T<sub>j</sub> -Independent Precursor Measurement,10.1109/ISSCC19947.2020.9062999,updated,ISSCC2020_181_A_Self_Health_Learning_GaN_Power.md,"As GaN technology proliferates in modern power electronics, reliability of GaN-based circuits has be..."
