期刊/会议+年份,论文数量
2022 International Symposium on Antennas and Propagation (ISAP)2022,1
2022 New Trends in Signal Processing (NTSP)2022,1
2022 United States National Committee of URSI National Radio Science Meeting (USNC-URSI NRSM)2022,1
2023 14th International Conference on Electrical and Electronics Engineering (ELECO)2023,1
2023 15th International Conference on Advanced Computational Intelligence (ICACI)2023,1
"2023 16th International Conference on Advanced Technologies, Systems and Services in Telecommunications (TELSIKS)2023",1
2023 16th International Conference on Sensing Technology (ICST)2023,1
2023 1st International Conference on Cognitive Computing and Engineering Education (ICCCEE)2023,1
2023 20th International SoC Design Conference (ISOCC)2023,1
2023 24th International Conference on Electronic Packaging Technology (ICEPT)2023,1
"2023 27th International Conference on Circuits, Systems, Communications and Computers (CSCC)2023",1
2023 2nd International Conference on Futuristic Technologies (INCOFT)2023,1
2023 31st International Conference on Electrical Engineering (ICEE)2023,1
2023 34th Irish Signals and Systems Conference (ISSC)2023,1
2023 36th SBC/SBMicro/IEEE/ACM Symposium on Integrated Circuits and Systems Design (SBCCI)2023,1
2023 4th International Conference on Electronics and Sustainable Communication Systems (ICESC)2023,1
2023 4th International Symposium on Computer Engineering and Intelligent Communications (ISCEIC)2023,1
2023 5th International Academic Exchange Conference on Science and Technology Innovation (IAECST)2023,1
2023 6th International Conference on Advanced Communication Technologies and Networking (CommNet)2023,1
2023 6th International Conference on Artificial Intelligence and Big Data (ICAIBD)2023,1
2023 6th International Conference on Communication Engineering and Technology (ICCET)2023,1
2023 6th International Conference on Signal Processing and Information Security (ICSPIS)2023,1
2023 7th IEEE Electron Devices Technology & Manufacturing Conference (EDTM)2023,1
"2023 7th International Conference on Electronics, Materials Engineering & Nano-Technology (IEMENTech)2023",1
2023 8th IEEE International Conference on Network Intelligence and Digital Content (IC-NIDC)2023,1
2023 IEEE 16th International Conference on Electronic Measurement & Instruments (ICEMI)2023,1
2023 IEEE 2nd Industrial Electronics Society Annual On-Line Conference (ONCON)2023,1
"2023 IEEE 34th Annual International Symposium on Personal, Indoor and Mobile Radio Communications (PIMRC)2023",1
2023 IEEE 4th International Multidisciplinary Conference on Engineering Technology (IMCET)2023,1
2023 IEEE 66th International Midwest Symposium on Circuits and Systems (MWSCAS)2023,1
2023 IEEE 98th Vehicular Technology Conference (VTC2023-Fall)2023,1
2023 IEEE AFRICON2023,1
2023 IEEE Asia Pacific Conference on Circuits and Systems (APCCAS)2023,1
2023 IEEE International Conference on Image Processing and Computer Applications (ICIPCA)2023,1
2023 IEEE International Opportunity Research Scholars Symposium (ORSS)2023,1
2023 IEEE International Symposium On Antennas And Propagation (ISAP)2023,1
2023 IEEE Physical Assurance and Inspection of Electronics (PAINE)2023,1
2023 IEEE Topical Conference on RF/Microwave Power Amplifiers for Radio and Wireless Applications2023,1
"2023 International Conference on Control, Communication and Computing (ICCC)2023",1
2023 International Conference on Electromagnetics in Advanced Applications (ICEAA)2023,1
2023 International Conference on Future Communications and Networks (FCN)2023,1
2023 International Conference on Microelectronics (ICM)2023,1
"2023 International Conference on Modeling, Simulation &amp; Intelligent Computing (MoSICom)2023",1
2023 International Symposium on Electrical and Electronics Engineering (ISEE)2023,1
"2023 International Technical Conference on Circuits/Systems, Computers, and Communications (ITC-CSCC)2023",1
2023 Symposium on Internet of Things (SIoT)2023,1
2023 URSI International Symposium on Electromagnetic Theory (EMTS)2023,1
2023 XXXVth General Assembly and Scientific Symposium of the International Union of Radio Science (URSI GASS)2023,1
2024 15th International Conference on Computing Communication and Networking Technologies (ICCCNT)2024,1
2024 17th International Conference on Signal Processing and Communication System (ICSPCS)2024,1
2024 19th Conference on Ph.D Research in Microelectronics and Electronics (PRIME)2024,1
2024 22nd IEEE Interregional NEWCAS Conference (NEWCAS)2024,1
2024 2nd International Conference on Emerging Trends in Engineering and Medical Sciences (ICETEMS)2024,1
"2024 31st IEEE International Conference on Electronics, Circuits and Systems (ICECS)2024",1
2024 32nd Signal Processing and Communications Applications Conference (SIU)2024,1
2024 4th International Conference on Artificial Intelligence and Signal Processing (AISP)2024,1
2024 4th International Conference on Electrical Engineering and Control Science (IC2ECS)2024,1
2024 54th European Microwave Conference (EuMC)2024,1
2024 6th International Academic Exchange Conference on Science and Technology Innovation (IAECST)2024,1
2024 6th International Conference on Circuits and Systems (ICCS)2024,1
"2024 6th International Youth Conference on Radio Electronics, Electrical and Power Engineering (REEPE)2024",1
2024 7th International Conference on Electronics Technology (ICET)2024,1
2024 8th International Symposium on Innovative Approaches in Smart Technologies (ISAS)2024,1
2024 9th International Conference on Computer and Communication Systems (ICCCS)2024,1
"2024 9th International Conference on Integrated Circuits, Design, and Verification (ICDV)2024",1
2024 9th International Conference on Smart and Sustainable Technologies (SpliTech)2024,1
2024 ACM/IEEE 6th Symposium on Machine Learning for CAD (MLCAD)2024,1
2024 Conference of Science and Technology for Integrated Circuits (CSTIC)2024,1
2024 Cross Strait Radio Science and Wireless Technology Conference (CSRSWTC)2024,1
"2024 First International Conference on Electronics, Communication and Signal Processing (ICECSP)2024",1
"2024 IEEE 10th International Symposium on Microwave, Antenna, Propagation and EMC Technologies for Wireless Communications (MAPE)2024",1
2024 IEEE 12th Asia-Pacific Conference on Antennas and Propagation (APCAP)2024,1
2024 IEEE 20th International Conference on Intelligent Computer Communication and Processing (ICCP)2024,1
2024 IEEE 21st India Council International Conference (INDICON)2024,1
2024 IEEE 25th International Conference of Young Professionals in Electron Devices and Materials (EDM)2024,1
2024 IEEE 37th International System-on-Chip Conference (SOCC)2024,1
2024 IEEE 6th International Conference on AI Circuits and Systems (AICAS)2024,1
2024 IEEE 6th International Conference on Civil Aviation Safety and Information Technology (ICCASIT)2024,1
2024 IEEE 7th International Conference on Electronic Information and Communication Technology (ICEICT)2024,1
2024 IEEE Computer Society Annual Symposium on VLSI (ISVLSI)2024,1
"2024 IEEE International Conference on Electronics, Computing and Communication Technologies (CONECCT)2024",1
2024 IEEE International Conference on Interdisciplinary Approaches in Technology and Management for Social Innovation (IATMSI)2024,1
2024 IEEE International Symposium on Broadband Multimedia Systems and Broadcasting (BMSB)2024,1
2024 IEEE International Test Conference (ITC)2024,1
2024 IEEE Latin American Electron Devices Conference (LAEDC)2024,1
2024 IEEE MTT-S International Conference on Microwave Acoustics &amp; Mechanics (IC-MAM)2024,1
2024 IEEE MTT-S International Wireless Symposium (IWS)2024,1
"2024 IEEE Microwaves, Antennas, and Propagation Conference (MAPCON)2024",1
2024 IEEE Opto-Electronics and Communications Conference (OECC)2024,1
2024 IEEE Radio and Wireless Symposium (RWS)2024,1
2024 IEEE Silicon Photonics Conference (SiPhotonics)2024,1
2024 IEEE Symposium on Industrial Electronics &amp; Applications (ISIEA)2024,1
2024 IEEE Wireless Antenna and Microwave Symposium (WAMS)2024,1
2024 IEEE Wireless Power Technology Conference and Expo (WPTCE)2024,1
2024 IFIP/IEEE 32nd International Conference on Very Large Scale Integration (VLSI-SoC)2024,1
2024 International Conference on Advanced Technologies for Communications (ATC)2024,1
"2024 International Conference on Advances in Computing, Communication and Materials (ICACCM)2024",1
"2024 International Conference on Electronics, Information, and Communication (ICEIC)2024",1
2024 International Conference on Integrated Circuits and Communication Systems (ICICACS)2024,1
"2024 International Conference on Modeling, Simulation &amp; Intelligent Computing (MoSICom)2024",1
2024 International Conference on Recent Advances in Science and Engineering Technology (ICRASET)2024,1
"2024 International Conference on Sensing, Measurement &amp; Data Analytics in the era of Artificial Intelligence (ICSMD)2024",1
2024 International Conference on Smart Electronics and Communication Systems (ISENSE)2024,1
2024 International Conference on Social and Sustainable Innovations in Technology and Engineering (SASI-ITE)2024,1
2024 International Symposium on Intelligent Signal Processing and Communication Systems (ISPACS)2024,1
2024 International Topical Meeting on Microwave Photonics (MWP)2024,1
2024 Second International Conference Computational and Characterization Techniques in Engineering &amp; Sciences (IC3TES)2024,1
2024 United States National Committee of URSI National Radio Science Meeting (USNC-URSI NRSM)2024,1
2025 10th Asia Conference on Power and Electrical Engineering (ACPEE)2025,1
2025 10th International Conference on Integrated Circuits and Microsystems (ICICM)2025,1
2025 10th International Workshop on Advances in Sensors and Interfaces (IWASI)2025,1
2025 13th International Conference on Intelligent Computing and Wireless Optical Communications (ICWOC)2025,1
2025 16th German Microwave Conference (GeMiC)2025,1
"2025 16th International Conference on Reliability, Maintainability and Safety (ICRMS)2025",1
2025 17th International Conference on Electromagnetic Interference and Compatibility (INCEMIC)2025,1
2025 19th European Conference on Antennas and Propagation (EuCAP)2025,1
2025 20th European Microwave Integrated Circuits Conference (EuMIC)2025,1
2025 23rd International Conference on Optical Communications and Networks (ICOCN)2025,1
2025 2nd International Conference on Artificial Intelligence and Knowledge Discovery in Concurrent Engineering (ICECONF)2025,1
"2025 2nd International Conference on Digital Media, Communication and Information Systems (DMCIS)2025",1
2025 2nd International Conference on Electronic Engineering and Information Systems (EEISS)2025,1
2025 2nd International Conference on Trends in Engineering Systems and Technologies (ICTEST)2025,1
2025 33rd European Signal Processing Conference (EUSIPCO)2025,1
2025 37th International Conference on Microelectronics (ICM)2025,1
2025 3rd Cognitive Models and Artificial Intelligence Conference (AICCONF)2025,1
"2025 3rd International Conference on Advancements in Electrical, Electronics, Communication, Computing and Automation (ICAECA)2025",1
2025 3rd International Conference on Integrated Circuits and Communication Systems (ICICACS)2025,1
2025 3rd International Conference on Ubiquitous Communication (Ucom)2025,1
"2025 5th International Conference on Computer Science, Electronic Information Engineering and Intelligent Control Technology (CEI)2025",1
2025 5th International Conference on Electronic Information Engineering and Computer Science (EIECS)2025,1
"2025 5th International Conference on Emerging Research in Electronics, Computer Science and Technology (ICERECT)2025",1
2025 5th International Conference on Evolutionary Computing and Mobile Sustainable Networks (ICECMSN)2025,1
2025 5th International Conference on Mechanical Automation and Electronic Information Engineering (MAEIE)2025,1
2025 5th International Conference on Trends in Material Science and Inventive Materials (ICTMIM)2025,1
"2025 6th International Conference on Electrical, Electronic Information and Communication Engineering (EEICE)2025",1
2025 6th International Conference on Electronic Communication and Artificial Intelligence (ICECAI)2025,1
2025 7th International Conference on Electronic Engineering and Informatics (EEI)2025,1
2025 7th International Symposium on Robotics and Intelligent Manufacturing Technology (ISRIMT)2025,1
2025 8th International Advanced Research Workshop on Transformers (ARWtr)2025,1
2025 8th International Conference on Artificial Intelligence and Big Data (ICAIBD)2025,1
2025 9th IEEE Electron Devices Technology &amp; Manufacturing Conference (EDTM)2025,1
2025 9th International Conference on Computational System and Information Technology for Sustainable Solutions (CSITSS)2025,1
2025 Asia Pacific Signal and Information Processing Association Annual Summit and Conference (APSIPA ASC)2025,1
2025 Conference on Lasers and Electro-Optics Europe &amp; European Quantum Electronics Conference (CLEO/Europe-EQEC)2025,1
2025 Energy Conversion Congress &amp; Expo Europe (ECCE Europe)2025,1
2025 IEEE 14th International Conference on Communication Systems and Network Technologies (CSNT)2025,1
"2025 IEEE 16th Annual Information Technology, Electronics and Mobile Communication Conference (IEMCON)2025",1
2025 IEEE 22nd India Council International Conference (INDICON)2025,1
2025 IEEE 27th Electronics Packaging Technology Conference (EPTC)2025,1
2025 IEEE 31st International Symposium on On-Line Testing and Robust System Design (IOLTS)2025,1
2025 IEEE 34th International Conference on Microelectronics (MIEL)2025,1
2025 IEEE 34th Wireless and Optical Communications Conference (WOCC)2025,1
2025 IEEE 3rd Global Conference on Wireless Computing and Networking (GCWCN)2025,1
2025 IEEE 9th International Test Conference India (ITC India)2025,1
2025 IEEE Asia Pacific Conference on Circuits and Systems (APCCAS)2025,1
2025 IEEE International Conference on Emerging Trends in Engineering and Computing (ETECOM)2025,1
2025 IEEE International Microwave and Antenna Symposium (IMAS)2025,1
2025 IEEE International RF and Microwave Conference (RFM)2025,1
2025 IEEE International Symposium on Hardware Oriented Security and Trust (HOST)2025,1
"2025 IEEE Microwaves, Antennas, and Propagation Conference (MAPCON)2025",1
2025 IEEE Radio and Wireless Symposium (RWS)2025,1
2025 IEEE Region 10 Symposium (TENSYMP)2025,1
2025 IEEE Silchar Subsection Conference (SILCON)2025,1
"2025 IEEE Space, Aerospace and Defence Conference (SPACE)2025",1
2025 IEEE Wireless Communications and Networking Conference (WCNC)2025,1
2025 IEEE Wireless Power Technology Conference and Expo (WPTCE)2025,1
2025 IEEE Wireless and Microwave Technology Conference (WAMICON)2025,1
2025 International Conference on Applied Electrical Engineering and Technology (AEET)2025,1
2025 International Conference on Applied Electronics (AE)2025,1
"2025 International Conference on Artificial Intelligence, Computer, Data Sciences and Applications (ACDSA)2025",1
2025 International Conference on Electrical and Computer Engineering Researches (ICECER)2025,1
"2025 International Conference on Electrical, Electronics, and Computer Science with Advance Power Technologies - A Future Trends (ICE2CPT)2025",1
2025 International Conference on Electromagnetics in Advanced Applications (ICEAA)2025,1
"2025 International Conference on Electronics, Information, and Communication (ICEIC)2025",1
2025 International Conference on Intelligent Innovations in Engineering and Technology (ICIIET)2025,1
"2025 International Conference on Modeling, Simulation &amp; Intelligent Computing (MoSICom)2025",1
"2025 International Conference on Quantum Photonics, Artificial Intelligence, and Networking (QPAIN)2025",1
2025 International Semiconductor Conference (CAS)2025,1
2025 International Workshop on Integrated Nonlinear Microwave and Millimetre-Wave Circuits (INMMIC)2025,1
2025 Photonics North (PN)2025,1
"2025 Seventh International Symposium on Computer, Consumer and Control (IS3C)2025",1
2025 Systems of Signals Generating and Processing in the Field of on Board Communications2025,1
"2026 5th International Conference on Communication, Computing and Electronics Systems (ICCCES)2026",1
"2026 9th International Conference on Electronics, Materials Engineering &amp; Nano-Technology (IEMENTech)2026",1
2026 IEEE 17th Latin America Symposium on Circuits and System (LASCAS)2026,1
2026 IEEE 26th Topical Meeting on Silicon Monolithic Integrated Circuits in RF Systems (SiRF)2026,1
2026 IEEE 39th International Conference on Micro Electro Mechanical Systems (MEMS)2026,1
2026 IEEE International Microwave Filter Workshop (IMFW)2026,1
2026 International Conference on Communication Networks and Machine Learning (CNML)2026,1
"2026 International Conference on Computing, Networking and Communications (ICNC)2026",1
2026 International Conference on Signal Processing and Electronics Design (ICSPED)2026,1
45th European Conference on Optical Communication (ECOC 2019)2019,1
A-SSCC2021,1
ACM Transactions on Design Automation of Electronic Systems2024,1
AI-EDU Arxiv2025,1
ASPDAC '25: 30th Asia and South Pacific Design Automation Conference2025,1
Advanced Photonics Nexus2026,1
Applied Optics2025,1
CICC2007,1
CICC2020,1
Communications of the ACM2018,1
Computer2025,1
Creative Education Studies2026,1
DAC '24: 61st ACM/IEEE Design Automation Conference2024,1
"Design, Automation & Test in Europe Conference & Exhibition (DATE), 20172017",1
ESSCIRC 2022- IEEE 48th European Solid State Circuits Conference (ESSCIRC)2022,1
ESSDERC 2022 - IEEE 52nd European Solid-State Device Research Conference (ESSDERC)2022,1
Electronics2021,1
Electronics2022,1
Electronics2023,1
Energies2025,1
Engineering Applications of Artificial Intelligence2026,1
Fluids2025,1
Foundations and Trends® in Machine Learning2012,1
Handbook of Sport Psychology2020,1
"ICASSP 2020 - 2020 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)2020",1
"ICASSP 2023 - 2023 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)2023",1
"ICASSP 2024 - 2024 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)2024",1
ICC 2025 - IEEE International Conference on Communications2025,1
ICCAD '24: 43rd IEEE/ACM International Conference on Computer-Aided Design2024,1
IEEE Access2016,1
IEEE Access2021,1
IEEE Antennas and Wireless Propagation Letters2022,1
IEEE Antennas and Wireless Propagation Letters2023,1
IEEE Antennas and Wireless Propagation Letters2026,1
IEEE Communications Letters2024,1
IEEE Communications Letters2025,1
IEEE Electromagnetic Compatibility Magazine2023,1
IEEE Electron Device Letters2020,1
IEEE Electron Device Letters2024,1
IEEE Journal of Emerging and Selected Topics in Power Electronics2024,1
IEEE Journal of Microwaves2023,1
IEEE Journal of Microwaves2025,1
IEEE Journal of the Electron Devices Society2023,1
IEEE Journal of the Electron Devices Society2025,1
IEEE Journal on Emerging and Selected Topics in Circuits and Systems2018,1
IEEE Journal on Emerging and Selected Topics in Circuits and Systems2025,1
IEEE Journal on Flexible Electronics2024,1
IEEE Journal on Wireless Power Technologies2026,1
IEEE Microwave Magazine2015,1
IEEE Microwave Magazine2026,1
IEEE Microwave and Wireless Components Letters2016,1
IEEE Microwave and Wireless Components Letters2018,1
IEEE Microwave and Wireless Components Letters2020,1
IEEE Nanotechnology Magazine2025,1
IEEE Open Journal of Antennas and Propagation2022,1
IEEE Open Journal of Antennas and Propagation2023,1
IEEE Open Journal of Antennas and Propagation2025,1
IEEE Open Journal of Circuits and Systems2023,1
IEEE Open Journal of Circuits and Systems2025,1
IEEE Open Journal of Power Electronics2020,1
IEEE Open Journal of Signal Processing2025,1
IEEE Open Journal of the Communications Society2026,1
IEEE Open Journal of the Solid-State Circuits Society2024,1
IEEE Sensors Journal2016,1
IEEE Sensors Journal2017,1
IEEE Sensors Journal2019,1
IEEE Solid-State Circuits Magazine2019,1
IEEE Solid-State Circuits Magazine2024,1
IEEE Transactions on Antennas and Propagation2022,1
IEEE Transactions on Antennas and Propagation2024,1
IEEE Transactions on Antennas and Propagation2026,1
IEEE Transactions on Applied Superconductivity2021,1
IEEE Transactions on Circuits and Systems I: Regular Papers2010,1
IEEE Transactions on Circuits and Systems I: Regular Papers2017,1
IEEE Transactions on Circuits and Systems II: Express Briefs2021,1
IEEE Transactions on Circuits and Systems for Artificial Intelligence2026,1
IEEE Transactions on Communications2020,1
"IEEE Transactions on Components, Packaging and Manufacturing Technology2016",1
"IEEE Transactions on Components, Packaging and Manufacturing Technology2021",1
"IEEE Transactions on Components, Packaging and Manufacturing Technology2023",1
IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems2007,1
IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems2009,1
IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems2011,1
IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems2012,1
IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems2019,1
IEEE Transactions on Electromagnetic Compatibility2024,1
IEEE Transactions on Electromagnetic Compatibility2026,1
IEEE Transactions on Electron Devices2008,1
IEEE Transactions on Electron Devices2009,1
IEEE Transactions on Electron Devices2023,1
IEEE Transactions on Electron Devices2024,1
IEEE Transactions on Electron Devices2025,1
IEEE Transactions on Electron Devices2026,1
IEEE Transactions on Emerging Topics in Computing2020,1
IEEE Transactions on Industrial Electronics2022,1
IEEE Transactions on Industrial Electronics2025,1
IEEE Transactions on Instrumentation and Measurement2017,1
IEEE Transactions on Instrumentation and Measurement2023,1
IEEE Transactions on Instrumentation and Measurement2024,1
IEEE Transactions on Magnetics2009,1
IEEE Transactions on Nanotechnology2025,1
IEEE Transactions on Neural Networks and Learning Systems2022,1
IEEE Transactions on Nuclear Science2021,1
IEEE Transactions on Nuclear Science2024,1
IEEE Transactions on Pattern Analysis and Machine Intelligence2013,1
IEEE Transactions on Power Electronics2024,1
IEEE Transactions on Semiconductor Manufacturing2023,1
IEEE Transactions on Signal Processing2025,1
IEEE Transactions on Signal and Power Integrity2025,1
IEEE Transactions on Vehicular Technology2022,1
IEEE Transactions on Very Large Scale Integration (VLSI) Systems2018,1
IEEE Transactions on Very Large Scale Integration (VLSI) Systems2021,1
IEEE Transactions on Very Large Scale Integration (VLSI) Systems2022,1
IEEE Wireless Communications2025,1
IET Conference Proceedings2025,1
ISSCC2020,1
ISSCC2022,1
ISSCC2024,1
Integrated Circuits and Systems2025,1
International Electron Devices Meeting 1998. Technical Digest (Cat. No.98CH36217)1998,1
JSSC1998,1
JSSC2000,1
JSSC2011,1
JSSC2019,1
JSSC2022,1
Journal of Computational Design and Engineering2024,1
Journal of Computational Physics2019,1
Journal of Computing and Electronic Information Management2025,1
Journal of Computing and Information Science in Engineering2025,1
Journal of Daylighting2023,1
Journal of Physics: Conference Series2019,1
Lecture Notes in Computer Science2019,1
Mathematics2025,1
Micromachines2020,1
Micromachines2021,1
Micromachines2023,1
New Library World2004,1
Nordic Journal of Studies in Policing2023,1
Proceedings of ASP-DAC 95/CHDL 95/VLSI 95 with EDA Technofair ASPDAC-951995,1
Proceedings of IEEE International Conference on Evolutionary Computation1996,1
Proceedings of the 2016 Conference of the North American Chapter of the Association for Computational Linguistics: Demonstrations2016,1
Proceedings of the 2022 ACM/IEEE Workshop on Machine Learning for CAD2022,1
Proceedings of the 24th Asia and South Pacific Design Automation Conference2019,1
Proceedings of the 39th International Conference on Computer-Aided Design2020,1
Proceedings of the 41st IEEE/ACM International Conference on Computer-Aided Design2022,1
Proceedings of the 54th Annual Design Automation Conference 20172017,1
Proceedings of the AAAI Conference on Artificial Intelligence2024,1
Proceedings of the ASP-DAC 2005 Asia and South Pacific Design Automation Conference 2005 ASPDAC-052005,1
Proceedings of the Bulgarian Academy of Sciences2022,1
Proceedings of the Great Lakes Symposium on VLSI 20242024,1
Proceedings of the International Conference on Computer-Aided Design2018,1
Progress In Electromagnetics Research2004,1
RF Circuit Design2012,1
RFIC2001,1
RFIC2008,1
RFIC2020,1
RFIC2021,1
Radio‐Frequency Integrated‐Circuit Engineering2015,1
Scientific Reports2024,1
Sensors2019,1
SiP‐System in Package Design and Simulation2017,1
TENCON 2025 - 2025 IEEE Region 10 Conference (TENCON)2025,1
TMTT2010,1
TMTT2012,1
TMTT2017,1
TMTT2018,1
TMTT2021,1
The Information Retrieval Series2004,1
Tsinghua Science and Technology2022,1
Четырнадцатая международная мультиконференция : Тез. докл.2024,1
未知期刊/会议2022,1
